,anaerobic,carbon_source,flux_fraction,total_nadp_flux,total_other_redox_flux
0,True,acetaladehyde,0.990534535536,11.0985063418,0.106056390379
1,True,acetate,,,
2,True,pyruvate,0.902312091264,2.27741984767,0.246562563425
3,True,L-lactate,,,
4,True,glycerol,0.989671296071,60.5364561628,0.63178869094
5,True,D-alanine,0.996001336499,30.4166722958,0.122114331444
6,True,D-lactate,,,
7,True,L-alanine,0.996001336499,30.4166722958,0.122114331444
8,True,acetoacetate,0.902311199989,1.04628111703,0.113275715516
9,True,L-malate,0.987162049577,22.5474341365,0.293227278881
10,True,succinate,,,
11,True,D-malate,0.997308972003,40.4154914284,0.109052682778
12,True,L-arabinose,0.980695087967,55.6779905337,1.09601722555
13,True,L-rhamnose,0.97111814455,26.6771823229,0.793401429061
14,True,D-ribose,0.988086647135,48.3365797739,0.582793758852
15,True,L-glutamate,0.98976622695,30.0097416909,0.310288305845
16,True,D-xylose,0.980695087967,55.6779905336,1.09601722555
17,True,D-glucose,0.976222714482,61.3879766801,1.49519103298
18,True,D-galactose,0.978028416093,58.9408397602,1.32411654408
19,True,D-fructose,0.976222714482,61.3879766801,1.49519103298
20,True,D-gluconate,0.984031473127,71.8093486652,1.16529759991
21,True,D-glucosamine,0.976206035889,61.4115714403,1.49684049587
22,False,acetaladehyde,0.651490056465,221.314575356,118.390648323
23,False,acetate,0.645028008413,179.046224205,98.5327675127
24,False,pyruvate,0.656814050259,191.018641643,99.8074172209
25,False,L-lactate,0.650417153815,148.750290492,79.9495364107
26,False,glycerol,0.640274046762,139.573404019,78.4166968214
27,False,D-alanine,0.603672227353,119.912760278,78.726095122
28,False,D-lactate,0.614667527644,89.4595917839,56.0818395763
29,False,L-alanine,0.616006994918,85.316744494,53.1828913833
30,False,acetoacetate,0.643541128798,114.721995595,63.5447700571
31,False,L-malate,0.66072493987,103.370519756,53.0796360022
32,False,succinate,0.623167049235,50.1934592476,30.352293788
33,False,D-malate,0.700065235187,59.5324720536,25.5059915943
34,False,L-arabinose,0.703753487705,83.3937305069,35.1047664296
35,False,L-rhamnose,0.656980447084,100.452933499,52.4480149916
36,False,D-ribose,0.696600769922,86.3499796512,37.609084679
37,False,L-glutamate,0.629553167312,57.5821829769,33.8829798826
38,False,D-xylose,0.703753487705,83.3937305069,35.1047664296
39,False,D-glucose,0.706828511377,98.6416520224,40.9136296828
40,False,D-galactose,0.704698402166,99.6270684038,41.7484024326
41,False,D-fructose,0.706828511377,98.6416520224,40.9136296828
42,False,D-gluconate,0.708150453334,91.8922036308,37.8714690439
43,False,D-glucosamine,0.706908701869,98.6050502132,40.8826233046
